Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,100.00,105.00,98.00,103.00,500000,DEMO
2024-01-02,103.00,108.00,101.00,107.00,620000,DEMO
2024-01-03,107.00,109.00,104.00,105.00,580000,DEMO
2024-01-04,105.00,111.00,103.00,110.00,710000,DEMO
2024-01-05,110.00,113.00,108.00,112.00,690000,DEMO
2024-01-08,112.00,116.00,111.00,115.00,760000,DEMO
2024-01-09,115.00,117.00,112.00,113.00,640000,DEMO
2024-01-10,113.00,118.00,112.00,117.00,800000,DEMO
2024-01-11,117.00,121.00,116.00,120.00,850000,DEMO
2024-01-12,120.00,122.00,118.00,119.00,790000,DEMO
2024-01-15,119.00,124.00,117.00,123.00,910000,DEMO
2024-01-16,123.00,126.00,121.00,125.00,880000,DEMO
2024-01-17,125.00,127.00,122.00,124.00,835000,DEMO
2024-01-18,124.00,129.00,123.00,128.00,940000,DEMO
2024-01-19,128.00,132.00,127.00,131.00,1010000,DEMO
2024-01-22,131.00,133.00,128.00,129.00,890000,DEMO
2024-01-23,129.00,134.00,128.00,133.00,980000,DEMO
2024-01-24,133.00,136.00,131.00,135.00,1020000,DEMO
2024-01-25,135.00,137.00,132.00,134.00,960000,DEMO
2024-01-26,134.00,139.00,133.00,138.00,1080000,DEMO
2024-01-29,138.00,141.00,136.00,140.00,1120000,DEMO
2024-01-30,140.00,143.00,138.00,141.00,1090000,DEMO
2024-01-31,141.00,145.00,139.00,144.00,1180000,DEMO
2024-02-01,144.00,146.00,141.00,142.00,990000,DEMO
2024-02-02,142.00,148.00,141.00,147.00,1250000,DEMO
